ip;mac
172.20.140.170;154da2563bdd
172.20.140.171;151485060b95
172.20.140.172;15e04ce42661
172.20.140.173;1510dca67c64
172.20.140.174;15065bac79fb
172.20.140.175;15065ccc79fb
172.20.140.176;151d7d704387
172.20.140.177;1521a17b868a
172.20.140.178;1521a17b8e10
172.20.140.179;1521a17b8e23
172.20.140.180;1521a17b8e31
172.20.140.181;1521a17b8e12
172.20.140.182;1521a17b863e
172.20.140.183;1521a17b8e2f
172.20.140.184;1521a17b8e2d
172.20.140.185;1521a17b8e01
172.20.140.186;1521a17b8e2b
172.20.140.187;1521a17b8e0d
172.20.140.188;1521a17b8e09
172.20.140.189;1521a17b8e20
172.20.140.190;1521a17b8eda
172.20.140.191;1521a17b8e26
172.20.140.192;1521a17b8df8
172.20.140.193;15d1526e4e75
172.20.140.194;15d1526e4bd5
172.20.140.195;15d1526e5165
172.20.140.196;15d1526e4ebb
172.20.140.197;15d1526e4c6b
172.20.140.198;15d1526e5557
172.20.140.199;15d1526e4da8
172.20.140.200;15d1526e4c74
172.20.140.201;15d1526e4ec9
172.20.140.202;15d1526e4d1b
172.20.140.203;15d1526e4abb
172.20.140.204;15d1526e4c1d
172.20.140.205;15d1526e5558
172.20.140.206;15d1526e4c6e
172.20.140.207;15d1526e4ce4
172.20.140.208;15d1526e50c0
172.20.140.209;15d1526e4c75
172.20.140.210;15d1526e4c70
172.20.140.211;15d1526e4c89
172.20.140.212;15d1526e4d3a
172.20.140.213;156f6545bd85
172.20.140.214;156f6545c27d
172.20.140.215;156f6545c271
172.20.140.216;156f658a521e
172.20.140.217;156f6545c281
172.20.140.218;156f6545c292
172.20.140.219;156f6545c283
172.20.140.220;156f6545bd87
172.20.140.221;156f6545c274
172.20.140.222;156f6545c296
172.20.140.223;156f6545c261
172.20.140.224;156f6545c2b2
172.20.140.225;156f6545c2ac
172.20.140.226;156f6545c28b
172.20.140.227;156f6545c275
172.20.140.228;156f6545c264
172.20.140.229;15248c943413
172.20.140.230;15248ca8a2da
172.20.140.231;15248c9b27c9
172.20.140.232;15248ca8a2dc
172.20.140.233;15248ca8a2f9
172.20.140.234;15248ca8a33c
172.20.140.235;15248ca8a340
172.20.140.236;15248c9b27e1
172.20.140.237;15248ca8a338
172.20.140.238;15248ca8a330
172.20.140.239;15248c9b27d1
172.20.140.240;15248c9b27cb
172.20.140.241;15248ca8a2d8
172.20.140.242;15248ca8a2de
172.20.140.243;15bbbba8a2e0
